word,meaning
solitary,"done or existing alone; without other people"
soluble,"able to be dissolved, especially in a liquid"
somber,"dark or dull in color; melancholy; gloomy"
sophisticated,"having a great deal of worldly experience; complicated"
sophistry,"the use of fallacious arguments with intent to deceive"
sordid,"involving ignoble actions; dirty or unpleasant"
sore,"painful or aching; a cause of distress"
sort,"to arrange things in categories; a type"
sound,"healthy; reliable; reasonable; valid"
spacious,"having ample space; capacious"
span,"the full extent of something; range or duration"
spawn,"to produce or generate; to bring about"
speciation,"the formation of new and distinct species in evolution"
species,"a group of living organisms consisting of individuals"
specious,"superficially plausible, but actually wrong"
specimen,"an individual animal or plant used as an example"
spectator,"a person who watches at a show or game"
speculate,"to form a theory or conjecture about a subject without firm evidence"
spew,"to expel large quantities of something rapidly"
spike,"a thin, pointed piece of metal; a sudden increase"
spin,"to turn around quickly; to weave or tell a story"
spiteful,"showing or caused by malice; unkind"
spleen,"an abdominal organ involved in the production of blood cells"
splendid,"very impressive; very good; excellent"
splotch,"a daub, blot, or smear of something like paint or ink"
spontaneous,"occurring as a result of sudden inner impulse"
sporadic,"occurring at irregular intervals; scattered"
sprawl,"to spread out in an ungainly way; spread of buildings"
sprint,"to run very fast for a short distance"
spur,"an inducement; to urge forward"
spurious,"not being what it purports to be; false or fake"
stagger,"to walk unsteadily; to startle someone"
stagnant,"having no current or flow; not advancing"
stain,"to mark or discolor with something not easily removed"
stamina,"the ability to sustain prolonged effort; tenacity"
stampede,"a sudden panicked rush of a number of animals"
stand,"an attitude or opinion; maintained position"
stanza,"a group of lines forming a unit in a poem"
staple,"a main or important part of something"
stark,"severe or bare in appearance; stiff or rigid"
startle,"to cause a person to feel sudden shock or alarm"
static,"lacking in movement or change; stationary"
stature,"importance gained by achievement; height"
staunch,"loyal and committed in attitude or support"
stay,"to remain in a specified state or place"
steeped,"soaked in water; filled with a quality"
stem,"the main body of a plant; an upright timber of a ship"
stereotyped,"a fixed idea about a person or thing"
sterile,"not able to produce children; unproductive"
stern,"serious and unrelenting; showing disapproval"
stigmatize,"to describe or regard as worthy of disgrace"
stimulate,"to raise levels of physiological or nervous activity"
sting,"a small pointed organ in insects; to hurt"
stipulate,"to demand or specify a requirement"
stir,"to move a substance around to mix it; to arouse"
stitch,"a loop of thread used to join points or repair fabric"
stoke,"to encourage or incite; to add fuel to a fire"
straddle,"to sit or stand with one leg on either side"
straightforward,"uncomplicated and easy to do; honest; direct"
strain,"to force a part of one's body to make a strenuous effort"
strenuous,"requiring or using great exertion; arduous; tough"
strident,"loud and harsh; grating and unpleasant"
strife,"angry or bitter disagreement; conflict"
striking,"attracting attention by being unusual or extreme"
stringent,"strict, precise, and exacting regulations"
stroke,"a gentle touch or movement; a sudden attack"
stubborn,"having dogged determination; difficult to remove"
studious,"spending a lot of time studying or reading"
stupefy,"to make someone unable to think properly"
stupor,"a state of near-unconsciousness; unable to think"
sturdy,"strongly and solidly built"
stunted,"prevented from growing or developing properly"
stylus,"a hard point used for writing or following a groove"
stymie,"to prevent or hinder the progress of"
subduct,"of a tectonic plate moving sideways and downward into the mantle"
subjugate,"to bring under domination or control; to conquer"
submerge,"to cause to be under water; to hide"
submit,"to yield to a superior force; to contend or assert"
subsequent,"coming after something in time; following"
subservient,"prepared to obey others unquestioningly; less important"
subsist,"to maintain or support oneself at a minimal level"
substantially,"to a great or significant extent; in most details"
substantiate,"to provide evidence to support the truth of"
substitute,"a person or thing serving in place of another"
subsume,"to include or absorb something in something else"
subterranean,"existing, occurring, or done under the earth's surface"
subtle,"delicate or precise as to be difficult to describe"
subterfuge,"deceit used in order to achieve one's goal"
subversive,"seeking to undermine an established system"
subscription,"the action of making an advance payment to receive something regularly"
succinct,"written or spoken briefly and clearly"
succumb,"to fail to resist pressure, temptation, or a negative force"
succulent,"of food tender, juicy, and tasty"
sue,"to institute legal proceedings against someone"
suffrage,"the right to vote in political elections"
suitor,"a man who pursues a relationship with a view to marriage"
sullen,"bad-tempered and sulky; gloomy"
sumptuous,"splendid and expensive-looking"
superficial,"lacking depth of character or understanding"
superfluous,"extra; exceeding what is sufficient; unnecessary"
supernova,"a star that explodes and becomes much brighter for a short time"
superstition,"unfounded belief in supernatural beings"
supervise,"to observe and direct the execution of a task"
supplemental,"provided in addition to what is already present"
suppleness,"the quality of being flexible or bending easily"
supplication,"the action of asking for something earnestly"
supremacy,"the state of being superior to all others"
surfeit,"an excessive amount of something"
surmise,"to suppose that something is true without evidence"
surmount,"to overcome a difficulty or obstacle"
surpass,"to be greater than; to exceed"
surreal,"having the qualities of a dream; bizarre; uncanny"
surreptitious,"kept secret because it would not be approved"
surge,"a sudden powerful forward movement"
susceptible,"likely or liable to be influenced, harmed, or affected by a particular thing"
suspenseful,"arousing excitement or worry about what happens"
suspicious,"having a cautious distrust; questionable"
sustenance,"food and drink as a source of strength"
swab,"an absorbent pad for cleaning wounds; a specimen"
sway,"to move slowly back and forth; to influence"
symbiosis,"interaction between two different organisms"
symptomatic,"serving as a symptom or sign of something"
synchronize,"to cause to occur or operate at the same time or rate"
syntax,"the arrangement of words and phrases to create well-formed sentences"
tablet,"a small disc of medicine; a writing pad; a computer"
tacit,"understood or implied without being stated"
tactful,"having or showing sensitivity in dealing with others"
tackle,"to make determined efforts to deal with a problem"
taint,"a trace of a bad quality or substance"
take,"to lay hold of something; to understand"
tale-bearer,"a person who spreads gossip or secrets"
tally,"a current score or amount of something"
tamper,"to interfere with something in order to damage"
tangible,"perceptible by touch; real"
tantalize,"to torment or tease with the sight of something"
tantamount,"equivalent in seriousness to; virtually the same"
tau,"Greek letter; used in physics and math"
taut,"stretched or pulled tight; not slack"
tax,"a compulsory contribution; a burdensome effort"
taxonomy,"the branch of science concerned with classification"
tease,"to provoke playfully; to find out information"
tectonic,"relating to the structure of the earth's crust"
tedious,"too long, slow, or dull; tiresome"
telegenic,"having an appearance or manner that is appealing on television"
temper,"to make less severe by adding something; state of mind"
temperament,"a person's nature or character"
tempest,"a violent windy storm"
tempo,"the speed at which music is played"
tenable,"able to be maintained or defended against attack"
tenacious,"tending to keep a firm hold; not giving up"
tenant,"a person who occupies land or property from a landlord"
tend,"to care for; to regularly behave in a way"
tender,"gentle and kind; considerate; compassionate"
tentative,"not certain or fixed; provisional"
tenuous,"very weak or slight; hardly existing"
tenure,"the holding of an office; guaranteed permanent employment"
terminate,"to bring something to an end; to stop"
terrain,"a stretch of land with regard to its physical features"
terrestrial,"relating to the earth or its inhabitants"
territorial,"relating to ownership of an area of land"
terse,"sparing in the use of words; abrupt; short"
testament,"something that serves as proof; a will"
testimony,"a formal written statement in court; testament"
therapy,"treatment intended to relieve or heal"
threshold,"the point at which something starts to happen"
thrill,"a sudden feeling of excitement and pleasure"
thrifty,"using money and resources carefully; frugal"
throng,"a large, densely packed crowd of people"
thrive,"to grow or develop well or vigorously; to flourish"
thwart,"to prevent someone from accomplishing something; to frustrate"
tilt,"to move into a sloping position; to incline"
timid,"showing a lack of courage or confidence; shy"
timorous,"showing nervousness or a lack of confidence"
tinge,"to color slightly; a slight feeling or quality"
tip,"a small amount of money given for service; a pointed end"
titular,"holding a purely formal title without real authority"
toil,"work extremely hard or incessantly for a long time"
tolerant,"showing willingness to allow other opinions"
toll,"a charge for use; a cost in terms of life"
topography,"the arrangement of natural physical features"
torpor,"a state of physical or mental inactivity; being active and having no energy"
tortuous,"full of twists and turns; not simple"
toss,"to throw something lightly or carelessly"
touchstone,"a standard by which something is judged"
touchy,"easily upset or offended; oversensitive"
toxicity,"the quality of being toxic or poisonous"
trade,"the action of buying and selling; a compromise"
trajectory,"the path followed by a projectile; course"
trample,"to tread on and crush; to treat with contempt"
tranquil,"free from disturbance; calm and peaceful"
transaction,"an instance of buying or selling; business deal"
transcend,"to be or go beyond the range or limits of something"
transgenic,"containing genetic material from another organism"
transient,"lasting only for a short time; impermanence"
transitional,"relating to or characteristic of a process of change"
transparent,"allowing light to pass through; easy to understand"
transplant,"to move or transfer to another place"
transpire,"to occur or happen; to be revealed"
transport,"to overwhelm someone with a strong emotion, especially joy"
traverse,"to travel across or through something"
treacherous,"guilty of betrayal; dangerous"
tremulous,"shaking or quivering, usually from nervousness"
trendy,"very fashionable or up to date"
tributary,"a river or stream flowing into a larger one"
tribute,"an act or gift intended to show gratitude"
trickle,"to flow in a small stream; flowing slowly"
tricky,"requiring care and skill; difficult; crafty"
trigger,"to cause something to happen; a release mechanism"
trim,"to make something neat by cutting away parts"
triumph,"a great victory or achievement; to win"
trivial,"of little value or importance; not serious"
trope,"a figurative use of a word; a recurring theme"
trophic,"relating to feeding and nutrition"
turbulent,"characterized by conflict, disorder, or confusion; changing direction"
turnout,"the number of people attending an event or voting"
ubiquitous,"present, appearing, or found everywhere"
ultimate,"being the end of a process; fundamental"
umpire,"an official who watches a game to enforce the rules and settle disputes"
unanimity,"agreement by all people involved; consensus"
unbearable,"not able to be endured or tolerated; very annoying"
uncharacteristic,"not typical of a particular person or thing"
unchecked,"not examined or verified; not restrained"
unconditional,"not subject to any conditions; absolute"
unconscionable,"not right or reasonable; excessive"
uncouth,"lacking good manners, refinement, or grace"
underappreciat,"fail to value something highly enough"
underestimate,"to estimate something as being smaller than actual"
underlying,"lying or situated under; fundamental"
underline,"to draw a line under; to emphasize"
underpin,"to support from below; to fortify or promote"
underscore,"to draw a line under a word; to emphasize"
underway,"having started and currently in progress"
underwrite,"to accept liability under an insurance policy"
undulate,"to move with a smooth up-and-down motion"
unearth,"to find something in the ground by digging"
uneven,"not level or smooth; not following a regular pattern"
uneventful,"not marked by interesting or exciting events"
unfold,"to open or spread out; to reveal information"
ungainliness,"the quality of being awkward or clumsy; ungraceful"
ungrateful,"not feeling or showing gratitude"
unilateral,"done by or affecting only one person or group"
unimportant,"of little or no significance"
unjust,"not based on what is morally right; biased"
unkempt,"having an untidy or disheveled appearance"
unleash,"to release from restraint; to allow force to be felt"
unnerve,"to make someone lose their confidence or strength"
unprecedented,"never done or known before; unique"
unpretentious,"not attempting to impress others with talent"
unravel,"to undo twisted threads; to solve mystery"
unremarkable,"not particularly interesting or surprising"
unresponsive,"not responding or reacting to something"
unrivaled,"better than everyone or everything else; peerless"
unsettled,"lacking order or stability; undecided"
unsympathetic,"not feeling or showing sympathy"
untimely,"happening at an unsuitable time; premature"
unwind,"to undo after being wound; to relax"
unwieldy,"difficult to carry because of its size or shape"
uplifting,"inspiring optimism or hope"
upright,"sitting or standing with back straight; honorable"
uptake,"the action of taking up or making use of something"
urbane,"courteous, debonair, and refined in manner"
usher,"to show or guide someone somewhere"
usurp,"to take a position of power illegally or by force"
utilitarian,"designed to be useful rather than attractive"
utopia,"an imagined place in which everything is perfect"
utter,"complete; absolute; outright"
vacant,"empty; not filled; having no fixtures"
vacillate,"to alternate or waver between different opinions"
vague,"of uncertain, indefinite, or unclear meaning"
vain,"having an excessively high opinion of oneself"
validate,"to check or prove the validity or accuracy of"
validity,"the quality of being logically or factually sound"
vampire,"a corpse supposed to leave its grave at night"
vanish,"to disappear suddenly and completely"
vapid,"offering nothing that is stimulating; dull"
variation,"a change or difference in condition"
varied,"incorporating a number of different types"
venom,"a poisonous substance secreted by animals such as snakes"
venture,"a risky or daring journey; a business project"
verisimilitude,"the appearance of being true or real"
veritable,"used as an intensifier; true; real"
versatile,"able to adapt to many different functions"
vestige,"a trace of something that is disappearing"
veteran,"a person who has had long experience in a particular field"
vex,"to make someone feel annoyed, frustrated, or worried"
viable,"capable of working successfully; feasible"
vibration,"a continuous slight shaking movement"
vicariously,"experienced in the imagination through others"
vicissitude,"a change of circumstances or fortune"
vigilant,"keeping careful watch for possible danger"
vilify,"to speak or write about in an abusive manner"
vindicate,"to clear someone of blame or suspicion"
virile,"having strength, energy, and a strong sex drive"
virtuosity,"great skill in performing or artistic pursuit"
virulent,"extremely severe or harmful in its effects; bitter"
visualize,"to form a mental image of something"
vitality,"the state of being strong and active; passion"
vivacious,"attractively lively and animated; full of spirit"
vocalize,"to utter a sound or word; to express dislike"
vogue,"the prevailing fashion or style at a time"
volition,"the faculty or power of using one's will"
voluble,"talking fluently, readily, or incessantly"
vulgar,"lacking sophistication or good taste; unrefined"
vulnerability,"the state of being exposed to being attacked"
wade,"to walk through water or another liquid with effort"
waive,"to refrain from insisting on or using a right or claim"
wake,"the trail of disturbed water left by a ship"
wakefulness,"the state of being or remaining awake"
wane,"to decrease in power; to diminish"
wanting,"lacking in a required quality; absent"
wanton,"deliberate and unprovoked; a cruel action"
ward,"to guard or protect against danger; a room"
warp,"to become bent or twisted out of shape"
warrant,"to justify or necessitate a course of action"
wary,"feeling or showing caution; aware"
watershed,"an event or period marking a turning point"
wax,"to become larger or more powerful; a substance used for candles"
wayward,"difficult to control or predict; headlong"
weariness,"extreme tiredness; fatigue; being worn out"
weave,"to make up or fabricate; to interlace threads"
weed,"a wild plant growing where not wanted"
welfare,"the health and happiness of a group"
wend,"to go in a specified direction, typically slowly"
wheedle,"to employ endearments or flattery to persuade"
whimsy,"playfully quaint behavior or humor"
whittle,"to reduce or diminish something gradually"
willful,"deliberate; intentional; headstrong"
wilt,"to become limp through heat or loss of water"
wince,"to give a slight involuntary grimace out of pain or distress"
window,"an interval or opportunity for action"
winnow,"to remove people or things from a group"
withdraw,"to remove or take away; to cancel or discontinue"
withhold,"to refuse to give something due; to keep back"
withstand,"to remain undamaged or unaffected by; to resist"
wistful,"having a feeling of vague or regretful longing"
wobble,"to move unsteadily from side to side"
wobbly,"tending to move unsteadily from side to side"
womb,"the organ where offspring are conceived; uterus"
wrest,"to forcibly pull something from someone's grasp"
yen,"a strong desire or propensity; basic Japanese currency"
yield,"to produce or provide; to surrender or submit"
zealous,"having or showing great energy or enthusiasm for a cause or objective"
zenith,"the time at which something is at its most powerful"
